ln_wealth,log_hazard
17.142555,-2.5438464
17.142914,-2.5444005
17.143026,-2.5449548
17.143061,-2.5455093
17.143179,-2.5460649
17.144352,-2.5466201
17.148243,-2.5471756
17.149553,-2.5477316
17.151991,-2.5482876
17.152699,-2.5488448
17.153008,-2.5494018
17.153328,-2.5499587
17.153484,-2.5505161
17.154705,-2.5510745
17.157318,-2.5516326
17.157707,-2.552191
17.157797,-2.5527496
17.159256,-2.5533092
17.159609,-2.5538685
17.159609,-2.5544281
17.159609,-2.5549879
17.159609,-2.5555489
17.162287,-2.5561094
17.170605,-2.5566702
17.17178,-2.5572314
17.174566,-2.5577936
17.177301,-2.5583553
17.177645,-2.5589175
17.178659,-2.55948
17.178812,-2.5600426
17.178909,-2.5606065
17.179356,-2.5611699
17.179594,-2.5617335
17.180908,-2.5622976
17.180908,-2.5628626
17.180908,-2.5634272
17.180908,-2.5639923
17.180908,-2.5645573
17.181219,-2.5651238
17.183283,-2.5656896
17.185045,-2.5662558
17.185516,-2.5668225
17.185837,-2.5673902
17.185837,-2.5679574
17.185871,-2.5685248
17.185905,-2.5690928
17.185905,-2.5696616
17.18741,-2.57023
17.187424,-2.5707989
17.188065,-2.571368
17.193302,-2.5719376
17.193621,-2.5725081
17.194193,-2.5730782
17.194275,-2.5736485
17.196709,-2.5742192
17.197186,-2.5747912
17.200308,-2.5753624
17.202204,-2.5759342
17.203335,-2.5765064
17.205208,-2.5770795
17.206104,-2.5776522
17.206812,-2.5782254
17.212532,-2.5787985
17.215178,-2.5793731
17.218607,-2.5799472
17.218945,-2.5805216
17.219503,-2.5810962
17.220541,-2.581672
17.221359,-2.5822475
17.224524,-2.582823
17.225502,-2.5833991
17.226229,-2.5839753
17.226957,-2.584553
17.226984,-2.58513
17.226986,-2.5857072
17.22702,-2.5862849
17.22702,-2.5868638
17.227436,-2.5874422
17.228373,-2.5880208
17.22867,-2.5885997
17.230431,-2.58918
17.233664,-2.5897596
17.235563,-2.5903397
17.237719,-2.59092
17.240002,-2.5915015
17.240639,-2.5920825
17.24374,-2.592664
17.2463,-2.5932457
17.250343,-2.5938284
17.250593,-2.5944109
17.251335,-2.5949936
17.251995,-2.5955768
17.257946,-2.5961602
17.259148,-2.5967445
17.26119,-2.5973287
17.263521,-2.5979133
17.264832,-2.5984979
17.265879,-2.5990839
17.266577,-2.5996692
17.266577,-2.600255
17.26873,-2.6008413
17.269199,-2.6014285
17.27183,-2.6020155
17.272017,-2.6026025
17.272049,-2.6031902
17.272049,-2.6037788
17.272049,-2.604367
17.272079,-2.6049557
17.274632,-2.6055446
17.274725,-2.6061344
17.276642,-2.606724
17.278666,-2.6073141
17.278696,-2.6079044
17.278696,-2.608495
17.278696,-2.6090868
17.278696,-2.6096783
17.280434,-2.6102698
17.283306,-2.610862
17.284927,-2.6114552
17.285877,-2.6120479
17.286686,-2.6126411
17.288271,-2.6132345
17.289028,-2.6138291
17.289787,-2.6144233
17.290421,-2.6150177
17.295397,-2.6156125
17.295397,-2.6162086
17.295414,-2.6168041
17.296011,-2.6174002
17.296011,-2.6179965
17.296043,-2.618593
17.296074,-2.6191909
17.296074,-2.6197882
17.296104,-2.6203859
17.296535,-2.6209841
17.296782,-2.6215832
17.298273,-2.6221821
17.299648,-2.6227813
17.303331,-2.6233807
17.304214,-2.6239815
17.305817,-2.6245816
17.308071,-2.6251822
17.308619,-2.6257832
17.310972,-2.6263852
17.31332,-2.626987
17.31444,-2.627589
17.316412,-2.6281915
17.316704,-2.6287949
17.325344,-2.6293981
17.325741,-2.6300015
17.326548,-2.6306055
17.327742,-2.6312096
17.329599,-2.631815
17.330185,-2.6324201
17.330215,-2.6330254
17.330215,-2.633631
17.330215,-2.634238
17.330215,-2.6348443
17.333454,-2.6354511
17.334085,-2.6360583
17.334906,-2.6366665
17.335173,-2.6372745
17.335173,-2.6378827
17.33535,-2.6384914
17.336119,-2.6391013
17.336119,-2.6397107
17.336119,-2.6403203
17.336119,-2.6409304
17.336119,-2.6415417
17.336355,-2.6421525
17.337156,-2.6427639
17.337156,-2.6433754
17.337187,-2.6439874
17.337187,-2.6446006
17.337187,-2.6452134
17.337242,-2.6458266
17.33798,-2.64644
17.338276,-2.6470547
17.338657,-2.6476688
17.339899,-2.6482835
17.343517,-2.6488986
17.34623,-2.6495147
17.347502,-2.6501305
17.347599,-2.6507466
17.349314,-2.6513631
17.35079,-2.6519809
17.353828,-2.6525981
17.355963,-2.6532159
17.356644,-2.6538339
17.356672,-2.654453
17.363586,-2.655072
17.363619,-2.6556911
17.364151,-2.6563106
17.366364,-2.6569307
17.368319,-2.6575518
17.373138,-2.6581726
17.373167,-2.6587937
17.373167,-2.659415
17.373196,-2.6600378
17.373196,-2.66066
17.374935,-2.6612828
17.376787,-2.6619058
17.377106,-2.6625302
17.377153,-2.6631539
17.379025,-2.6637781
17.379053,-2.6644027
17.379053,-2.6650286
17.379053,-2.6656539
17.379082,-2.6662798
17.380554,-2.6669059
17.38369,-2.6675334
17.384514,-2.6681602
17.384525,-2.6687877
17.38455,-2.6694155
17.384563,-2.6700435
17.384594,-2.6706729
17.385775,-2.6713018
17.386257,-2.671931
17.390087,-2.6725609
17.391165,-2.6731918
17.39315,-2.6738224
17.393557,-2.6744533
17.397278,-2.6750846
17.398001,-2.6757171
17.398613,-2.6763492
17.398834,-2.6769817
17.402052,-2.6776147
17.402052,-2.6782489
17.402052,-2.6788826
17.402081,-2.6795166
17.402081,-2.6801512
17.402662,-2.6807868
17.402662,-2.6814222
17.402662,-2.6820579
17.402662,-2.6826942
17.402689,-2.6833305
17.403271,-2.6839685
17.403934,-2.6846058
17.404417,-2.6852436
17.405647,-2.6858816
17.407246,-2.6865211
17.407307,-2.68716
17.409172,-2.6877995
17.411068,-2.6884394
17.411457,-2.6890805
17.416933,-2.6897209
17.417841,-2.690362
